[2026-08-10T18:40:21.083Z] GET https://w0-0n9.github.io/traivel/?nocache=1786387218 → pending (?ms, ?B)
[2026-08-10T18:40:21.368Z] GET https://fonts.googleapis.com/css2?family=Zilla+Slab:wght@600;700&family=Oswald:wght@400;500;600&family=IBM+Plex+Sans+KR:wght@400;500;600;700&display=swap → 200 (304ms, 53662B)
[2026-08-10T18:40:21.368Z] GET https://w0-0n9.github.io/traivel/profile.jpg → 200 (63ms, 10246B)
[2026-08-10T18:40:21.375Z] GET https://cdn.jsdelivr.net/npm/d3@7/dist/d3.min.js → 200 (599ms, 92910B)
[2026-08-10T18:40:21.375Z] GET https://cdn.jsdelivr.net/npm/topojson-client@3/dist/topojson-client.min.js → 200 (599ms, 3005B)
[2026-08-10T18:40:21.966Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNOwtW_WpzEpMs.woff2 → 200 (200ms, 11185B)
[2026-08-10T18:40:21.969Z] GET https://fonts.gstatic.com/s/zillaslab/v12/dFa5ZfeM_74wlPZtksIFYoEf6HOpW3pwfa0.woff2 → pending (?ms, ?B)
[2026-08-10T18:40:21.970Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.118.woff2 → pending (?ms, ?B)
[2026-08-10T18:40:21.970Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbf7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.118.woff2 → pending (?ms, ?B)
[2026-08-10T18:40:21.970Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → pending (?ms, ?B)
[2026-08-10T18:40:21.970Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6aT7HmqeHWdb8.woff2 → pending (?ms, ?B)
[2026-08-10T18:40:21.970Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.119.woff2 → pending (?ms, ?B)
[2026-08-10T18:40:21.970Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.116.woff2 → pending (?ms, ?B)
[2026-08-10T18:40:21.971Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.113.woff2 → pending (?ms, ?B)
[2026-08-10T18:40:21.971Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.111.woff2 → pending (?ms, ?B)
[2026-08-10T18:40:21.971Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbT7HmqeHWdb8.woff2 → pending (?ms, ?B)
[2026-08-10T18:40:21.971Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbf7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.117.woff2 → pending (?ms, ?B)
[2026-08-10T18:40:21.971Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbf7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.115.woff2 → pending (?ms, ?B)
[2026-08-10T18:40:21.971Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.119.woff2 → pending (?ms, ?B)
[2026-08-10T18:40:21.973Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.118.woff2 → pending (?ms, ?B)
[2026-08-10T18:40:21.973Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.117.woff2 → pending (?ms, ?B)
